,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_003131,47.68444475,0.064435847,0.457722183,-0.140775014,0.888047682,0.914573626
NR_120540,6.91292996,0.09486423,0.678707025,-0.139771988,0.888840146,0.914573626
NM_201262,7.827088553,-0.09333373,0.671283682,0.139037686,0.889420369,0.914573626
NM_006668,10.10574901,-0.091361535,0.658184591,0.138808378,0.889601574,0.914573626
NM_015596,31.12389891,0.070863907,0.510598239,-0.138786039,0.889619226,0.914573626
NR_037575,13.44493393,-0.08686244,0.626948518,0.138547963,0.889807366,0.914573626
NM_001330572,36.50667521,-0.067871801,0.490294919,0.138430561,0.889900145,0.914573626
NM_004531,13.42402483,0.086399555,0.62608143,-0.138000508,0.890240016,0.914573626
NM_001005619,13.92664803,0.086848466,0.633581345,-0.137075478,0.890971135,0.914573626
NM_015169,2547.353146,-0.044855899,0.327155754,0.137108697,0.890944878,0.914573626
NR_126041,15.46515784,0.084090454,0.612714861,-0.137242393,0.890839203,0.914573626
NM_001145073,279.0632335,-0.039584768,0.289559105,0.13670704,0.891262365,0.914573626
NM_001514,1620.72993,-0.033989108,0.249488583,0.136235124,0.891635409,0.914573626
NM_139266,55.66167091,-0.059503383,0.436360504,0.136362899,0.891534402,0.914573626
NR_000014,6.650491732,0.092470386,0.678543838,-0.136277689,0.891601761,0.914573626
NR_106935,6.650491732,0.092470386,0.678543838,-0.136277689,0.891601761,0.914573626
NR_136658,9.910070557,-0.089700933,0.657965753,0.136330702,0.891559854,0.914573626
NM_100264,36.2241262,0.069278069,0.508976399,-0.136112538,0.891732316,0.914573626
NM_013447,11.97103533,0.086401802,0.636825618,-0.135675764,0.892077608,0.914573626
NM_001030001,333.834399,-0.049117413,0.36241153,0.135529388,0.89219333,0.914573626
NM_001329733,40.11044083,0.064774229,0.479003296,-0.135227104,0.892432318,0.914573626
NM_014747,780.6329916,-0.047837905,0.353761333,0.135226495,0.8924328,0.914573626
NM_006468,58.57803785,0.060835625,0.451232462,-0.134821029,0.892753379,0.914573626
NM_001013660,430.5037785,0.040046761,0.297464431,-0.134627057,0.892906748,0.914573626
NR_002594,13.0114551,-0.084276341,0.628373928,0.134118137,0.893309158,0.914573626
NR_028342,55.52144919,0.058441899,0.435935741,-0.134060811,0.893354488,0.914573626
NM_001085487,3121.011351,-0.035269943,0.263509137,0.133847133,0.893523455,0.914573626
NM_022776,1454.726254,0.036857001,0.275423499,-0.133819378,0.893545404,0.914573626
NM_001100588,265.4543039,0.041917875,0.315054073,-0.133049779,0.894154013,0.914573626
NM_006877,758.7008864,0.040074075,0.301005498,-0.133134031,0.894087382,0.914573626
NR_038381,6.890676703,0.090272409,0.679268379,-0.132896528,0.894275213,0.914573626
NR_120604,8.321412949,0.088853285,0.668308141,-0.13295257,0.894230891,0.914573626
NM_175617,8473.44149,-0.032364416,0.243788087,0.132756346,0.89438608,0.914573626
NM_001253384,9.669848692,0.08722344,0.658264886,-0.132505078,0.894584807,0.914573626
NM_004227,1350.017925,0.033322422,0.251733002,-0.132372085,0.894689993,0.914573626
NM_024782,742.3729867,-0.034880988,0.263462387,0.132394563,0.894672215,0.914573626
NM_001345,12.9969856,0.085014814,0.643511363,-0.13211082,0.894896638,0.914573626
NM_016144,20.05171747,0.076387597,0.579770781,-0.131754824,0.89517822,0.914573626
NM_152486,30.0493831,0.077912306,0.591547526,-0.131709293,0.895214235,0.914573626
NM_015150,583.5149087,0.045895926,0.349550459,-0.131299858,0.895538104,0.914573626
NM_002121,11.06171971,-0.085143919,0.650549692,0.130879963,0.895870266,0.914573626
NR_126510,15.33274643,0.080808132,0.617223423,-0.130922012,0.895837002,0.914573626
NM_001086521,1216.524153,0.032170488,0.247522712,-0.129969844,0.896590285,0.914573626
NM_007215,987.2301056,-0.033366739,0.256755702,0.129955201,0.896601871,0.914573626
NM_015989,36.68442834,-0.064916933,0.498513678,0.130220966,0.896391607,0.914573626
NR_003265,124.8998767,0.046841847,0.359921232,-0.130144717,0.896451932,0.914573626
NR_038926,42.08803387,0.061132194,0.468974521,-0.130352911,0.89628722,0.914573626
NR_039840,14.59792725,0.080221431,0.617491667,-0.129915001,0.896633675,0.914573626
NR_134654,15.01586535,0.081479384,0.62643083,-0.130069244,0.896511643,0.914573626
NM_001318252,68.40745153,-0.057555614,0.444233638,0.129561584,0.896913298,0.914573626
NR_026592,160.003271,-0.043886631,0.339443637,0.129289891,0.89712827,0.914573626
NM_178812,11706.64283,0.032502519,0.25167916,-0.12914267,0.897244759,0.914573626
NM_181742,33.16665508,-0.065336138,0.506535561,0.128986281,0.897368504,0.914573626
NM_153645,40.76081704,-0.061381352,0.476715964,0.128758751,0.897548546,0.914573626
NM_001272044,8.429186509,0.085809809,0.667165557,-0.128618463,0.897659556,0.914573626
NM_001317194,10.73279464,-0.082615995,0.648262984,0.127442099,0.898590498,0.914573626
NM_002878,9.343345102,-0.084256659,0.662167932,0.127243642,0.898747565,0.914573626
NM_015343,13.2494915,0.079995595,0.630509483,-0.126874531,0.899039705,0.914573626
NM_000346,4957.10635,-0.035341243,0.279817825,0.126300899,0.899493745,0.914573626
NM_001257069,10.2556076,0.082253009,0.65237731,-0.126081959,0.899667048,0.914573626
NM_001320977,7.106223824,0.085264226,0.676070198,-0.126117416,0.899638982,0.914573626
NM_014448,1742.465644,-0.031981426,0.252749247,0.12653421,0.899309071,0.914573626
NM_015399,47.02279815,-0.061269917,0.484782189,0.126386486,0.899425999,0.914573626
NM_021203,4132.163395,0.037733234,0.299340115,-0.12605472,0.89968861,0.914573626
NR_110295,9.805516798,-0.084564143,0.667816708,0.126627773,0.899235014,0.914573626
NM_002717,139.0611851,-0.044935926,0.357693608,0.125626863,0.900027298,0.914573626
NM_030798,25.84919563,-0.069405206,0.551791512,0.125781576,0.899904826,0.914573626
NM_139057,205.0576676,0.045186198,0.35954025,-0.125677717,0.899987041,0.914573626
NM_170713,35.99864675,0.06481509,0.515569936,-0.125715418,0.899957197,0.914573626
NM_000224,7.716095191,-0.084646086,0.675806922,0.125251877,0.900324148,0.914573626
NM_001013690,13.48622064,-0.078675517,0.628527011,0.12517444,0.900385452,0.914573626
NM_001551,1732.209417,-0.031813004,0.254049232,0.125223776,0.900346395,0.914573626
NR_033754,20.40960832,0.079865119,0.637915557,-0.125197007,0.900367587,0.914573626
NM_001277325,35.25123372,0.062281576,0.499249342,-0.124750441,0.900721123,0.914573626
NM_001286577,508.1388907,0.033666703,0.269657251,-0.124849984,0.900642315,0.914573626
NR_036212,14.73117387,0.077180792,0.61911952,-0.124662186,0.900790995,0.914573626
NR_122111,11.68634385,0.07998494,0.640705448,-0.124838863,0.90065112,0.914573626
NM_000815,389.3370628,-0.035779403,0.29011206,0.123329595,0.901846106,0.914573626
NM_001184970,37.112229,0.060014768,0.485727826,-0.123556371,0.901666539,0.914573626
NM_001282670,15.61692896,-0.075316227,0.611545734,0.123157146,0.90198266,0.914573626
NM_001323616,10.03767589,0.081933424,0.663812493,-0.123428566,0.901767738,0.914573626
NM_006789,9.885395813,0.081438109,0.656180518,-0.124109307,0.901228729,0.914573626
NM_021137,2729.928738,-0.03933578,0.318621832,0.12345601,0.901746007,0.914573626
NM_024090,8.454659568,0.082935484,0.67001684,-0.123781194,0.901488523,0.914573626
NM_052927,6.736012036,0.083740303,0.678877949,-0.123351043,0.901829123,0.914573626
NM_133644,8.649812632,-0.082239027,0.668655182,0.122991684,0.902113683,0.914573626
NR_027447,45.10608356,-0.056920177,0.460291307,0.123661204,0.901583531,0.914573626
NR_036432,88.09165162,-0.049917443,0.403770073,0.123628387,0.901609515,0.914573626
NR_104314,35.43808798,0.06093939,0.494840828,-0.123149479,0.901988731,0.914573626
NR_104637,8.649812632,-0.082239027,0.668655182,0.122991684,0.902113683,0.914573626
NR_105016,49.68163353,0.055224254,0.447171678,-0.123496762,0.901713738,0.914573626
NM_000676,1834.296814,-0.031388968,0.255731364,0.122741956,0.902311439,0.914573626
NM_013378,15.48368234,-0.074666255,0.609032301,0.122598185,0.902425292,0.914573626
NR_110849,12.1643292,0.078060768,0.636529083,-0.122635037,0.902396108,0.914573626
NM_001242898,38.01299542,-0.059758099,0.489270992,0.122137017,0.902790506,0.914573626
NM_001282068,12.77687452,-0.079341152,0.650845488,0.121904744,0.902974459,0.914573626
NM_032189,8.53696007,0.081474669,0.668349104,-0.121904359,0.902974764,0.914573626
