,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NR_045269,63.51138863,-0.444047751,0.211848782,2.096059974,0.036076871,0.358449209
NR_045270,8.931852235,0.109183786,0.334499265,-0.326409644,0.744114442,1
NR_045273,0.635756979,-0.218393905,0.206564271,1.05726854,0.290389047,0.889115489
NR_045274,2.842031235,0.135941822,0.31660002,-0.429380333,0.667646464,1
NR_045282,28.34460288,-0.153004448,0.249572346,0.613066515,0.53983236,1
NR_045283,5.628385203,1.056205891,0.347310252,-3.041101972,0.00235714,0.057996586
NR_045284,292.8597451,-1.024175665,0.284049154,3.605628294,0.000311399,0.012964249
NR_045287,7.105994788,-0.61110851,0.333102796,1.834594356,0.066565816,0.49315142
NR_045289,111.0313686,-0.013090079,0.196960267,0.066460507,0.947011199,1
NR_045290,31.82609906,-0.371548857,0.257709705,1.441734047,0.149377415,0.706483829
NR_045293,9.082163344,0.533445775,0.318592652,-1.674381916,0.094055565,0.578256734
NR_045294,182.0081253,0.349104008,0.182114429,-1.916948645,0.055244456,0.448918931
NR_045295,11.15179513,-0.050114749,0.323487213,0.15492034,0.876884119,1
NR_045297,232.543863,0.017659969,0.21026292,-0.083989935,0.933064434,1
NR_045298,13.6247945,-0.356426556,0.328058104,1.086473862,0.277269399,0.878904982
NR_045299,132.0971016,-0.131321241,0.171441595,0.76598238,0.443686786,0.983944806
NR_045300,0.312385736,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045301,3108.957324,-0.727340878,0.162014019,4.489370018,7.14E-06,0.00054969
NR_045302,0.293819934,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045305,0.149496053,0.002416617,0.148967141,-0.016222484,0.987056898,1
NR_045306,6.194929175,0.258896487,0.348133306,-0.74367055,0.45707581,0.988684959
NR_045308,2.220452688,0.41610742,0.340829354,-1.22086732,0.22213626,0.821236665
NR_045311,1.895222439,-0.161114298,0.272328024,0.591618502,0.554106081,1
NR_045314,0.231961189,-0.020569512,0.148967141,0.138080866,0.890176507,1
NR_045316,0.765891615,-0.150474999,0.24900244,0.604311341,0.545636667,1
NR_045317,18.59909795,1.350681732,0.312571987,-4.321186119,1.55E-05,0.001059105
NR_045318,5.186480692,-0.021115653,0.349083412,0.060488845,0.9517663,1
NR_045319,1.110948765,0.042140908,0.288694953,-0.145970367,0.883944781,1
NR_045322,3.003166084,0.337720645,0.341683281,-0.988402607,0.322955511,0.913162363
NR_045323,16.87284833,0.153507006,0.34016789,-0.451268362,0.651796144,1
NR_045326,0.166297805,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045327,0.229604087,-0.020569512,0.148967141,0.138080866,0.890176507,1
NR_045328,1.497047094,-0.17365192,0.313263731,0.554331392,0.579352071,1
NR_045329,73.53305138,0.135923966,0.207621607,-0.654671581,0.512679226,1
NR_045330,5.021760198,0.260327473,0.347277625,-0.749623513,0.453481485,0.987914592
NR_045331,7.152019415,-0.391387991,0.346887763,1.128284224,NA,1
NR_045332,11.27504837,0.563443431,0.331225956,-1.701084774,0.08892707,0.56196258
NR_045335,0.333596594,0.057603206,0.161754139,-0.356115806,0.721753841,1
NR_045337,112.1370322,0.342367593,0.195406284,-1.752080772,0.07975992,0.535739667
NR_045341,28.55747953,-0.675664755,0.323981434,2.085504553,0.037023525,0.363413595
NR_045342,3.606774994,0.164653965,0.343620988,-0.47917319,0.631815426,1
NR_045343,0.151219648,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045344,0.151219648,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045346,8.597386426,0.290394029,0.338766233,-0.857210669,0.391328467,0.961459815
NR_045347,0.330871106,0.002867896,0.161518815,-0.017755799,0.985833666,1
NR_045352,0.412768128,0.042504844,0.189526455,-0.224268657,0.822548263,1
NR_045353,1.711403845,-0.245983323,0.305316622,0.805666331,0.420435268,0.974708829
NR_045354,3.957048133,-0.522079542,0.347929644,1.500531935,0.133476668,0.672266604
NR_045355,0.981823289,-0.187474903,0.239573446,0.782536238,0.433899497,0.979771368
NR_045357,0.155820054,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045360,0.151219648,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045362,5.074300583,-0.1743794,0.346810383,0.502809051,0.615098529,1
NR_045363,0.928890759,-0.314105827,0.259797814,1.209039529,0.226647659,0.825734536
NR_045366,3.2902104,-0.070721302,0.324424968,0.217989701,0.827437136,1
NR_045369,4.295200037,-0.126189574,0.349084734,0.361486946,0.717735462,1
NR_045372,0.309339905,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045379,3.051935568,0.37294185,0.349076383,-1.068367466,0.285354786,0.88396575
NR_045380,0.496276157,0.191743473,0.175446369,-1.092889378,0.274442373,0.87646313
NR_045384,2.107380498,0.194172394,0.337693641,-0.574995707,0.5652942,1
NR_045391,1.375028508,0.069020499,0.3031108,-0.227707159,0.819873907,1
NR_045392,0.420152007,0.157282287,0.170982762,-0.919872181,0.357639558,0.94297393
NR_045398,3.040352433,0.161152042,0.347811442,-0.46333163,0.643126677,1
NR_045399,7.945710732,-0.280433259,0.340539748,0.823496408,0.410225759,0.96860424
NR_045401,2.664539501,0.258963908,0.344922942,-0.750787718,0.452780422,0.987441768
NR_045402,98.54291624,-0.002734411,0.232878595,0.011741788,0.990631624,1
NR_045403,20.89454554,-0.39979258,0.269364736,1.484205341,0.137754453,0.680823824
NR_045404,6.155557061,0.202674576,0.348806361,-0.581051833,0.56120552,1
NR_045415,3.403470084,-0.292916503,0.341523246,0.857676618,0.391071054,0.961459815
NR_045419,0.175112792,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045420,32.40176394,0.445678472,0.248815644,-1.791199564,0.073261276,0.514231458
NR_045421,11.54169097,0.012511968,0.316119112,-0.039579915,0.96842804,1
NR_045427,4.942838467,-0.093219145,0.349082844,0.267040179,0.789438226,1
NR_045428,0.569651769,-0.131367897,0.218434693,0.601405828,0.547569718,1
NR_045431,5.508962004,-0.08420131,0.348571026,0.241561415,0.809120023,1
NR_045434,38.60160528,-0.151508406,0.245799671,0.616389782,0.537637296,1
NR_045435,0.496090512,-0.152277313,0.196447052,0.775157026,0.438246878,0.98171553
NR_045436,0.151219648,-0.043555641,0.148967141,0.292384216,0.769992875,1
NR_045438,1.096553474,-0.305419338,0.273273773,1.117631357,0.263724471,0.868507199
NR_045446,32.99953173,-0.333780845,0.308899272,1.08054915,0.279897712,0.879266939
NR_045447,0.538063507,-0.210824848,0.180298314,1.169311256,0.24227825,0.844114215
NR_045448,26.6897102,0.180531888,0.236885281,-0.762106819,0.445996253,0.983944806
NR_045458,1.122094298,0.142934849,0.289764499,-0.493279367,0.621815205,1
NR_045459,3.83123928,0.129293696,0.345112862,-0.374641777,0.707926899,1
NR_045461,2.389733337,-0.281328636,0.328145349,0.857329339,0.391262898,0.961459815
NR_045462,0.155820054,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045463,0.160849574,0.002416617,0.148967141,-0.016222484,0.987056898,1
NR_045466,0.726659986,0.186807822,0.167356046,-1.116229896,0.264323741,0.869166175
NR_045468,0.309339905,0.048388875,0.148967141,-0.324829184,0.745310356,1
NR_045471,51.33462868,-0.010021689,0.22391291,0.044757084,0.964300933,1
NR_045473,9.459113733,-0.117925316,0.330032275,0.357314495,0.72085638,1
NR_045476,25.4060076,0.150532618,0.250593203,-0.600705114,0.548036413,1
NR_045477,0.161166089,0.002416617,0.148967141,-0.016222484,0.987056898,1
NR_045482,0.756418478,0.225015574,0.234412595,-0.959912474,0.337099267,0.924119514
